""	"Gene1"	"Gene2"	"Gene3"	"Gene4"	"Gene5"	"Gene6"	"Gene7"	"Gene8"	"Gene9"	"Gene10"	"Gene11"	"Gene12"	"Gene13"	"Gene14"	"Gene15"	"Gene16"	"Gene17"	"Gene18"	"Gene19"	"Gene20"	"Gene21"	"Gene22"	"Gene23"	"Gene24"	"Gene25"	"Gene26"	"Gene27"	"Gene28"	"Gene29"	"Gene30"	"Gene31"	"Gene32"	"Gene33"	"Gene34"	"Gene35"	"Gene36"	"Gene37"	"Gene38"	"Gene39"	"Gene40"	"Gene41"	"Gene42"	"Gene43"	"Gene44"	"Gene45"	"Gene46"	"Gene47"	"Gene48"
"1"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"1"
"2"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"1"
"3"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"1"
"4"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"1"
"5"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"1"
"6"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"
"7"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"
"8"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"
"9"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"
"10"	" 1"	" 1"	" 0"	" 1"	" 0"	" 0"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 1"	" 0"	" 0"	" 1"	" 1"	" 0"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 0"	" 1"	" 1"
"11"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 0"	" 0"	" 1"	" 1"	" 0"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 0"
"12"	" 1"	" 0"	" 0"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 0"
"13"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 0"
